player_positions,overall,potential,age,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
"CDM, CM",71,71,36,35,60,60,68,70,75,7,7,14,15,14,
ST,71,71,37,75,71,61,69,37,69,12,8,11,8,8,
"CDM, CM, CAM",71,71,35,49,69,72,69,70,66,13,7,11,6,14,
CB,71,71,38,35,43,48,61,70,72,8,11,10,16,11,
"CDM, CB",71,71,39,47,58,69,65,72,67,16,9,10,14,12,
GK,71,71,37,,,,,,,70,67,63,73,72,34
CB,71,71,36,36,38,60,60,69,72,7,11,6,6,14,
"CAM, CM",71,71,37,52,73,73,71,47,55,10,8,11,14,13,
"CM, CAM",71,71,37,52,72,74,74,63,59,11,9,12,13,7,
GK,71,71,39,,,,,,,71,68,64,72,70,27
"LM, RM, CM",71,71,34,46,71,75,76,64,61,11,7,11,12,11,
"CM, CDM",71,71,35,55,67,68,68,69,72,8,8,13,14,16,
"RM, CAM",71,71,32,70,61,69,76,53,60,6,7,7,8,7,
"CB, LB",71,71,38,63,50,58,46,70,79,7,11,12,9,9,
GK,71,71,35,,,,,,,71,69,66,71,71,41
CB,71,71,35,32,37,56,52,72,69,14,8,16,6,15,
RB,71,71,36,43,58,65,67,74,73,11,8,9,9,8,
ST,71,71,36,62,71,57,68,43,67,12,13,13,10,6,
GK,71,71,34,,,,,,,66,72,67,79,67,38
GK,71,71,34,,,,,,,71,69,90,64,75,35
CB,71,71,35,34,33,40,48,73,80,10,6,15,10,14,
CAM,71,71,36,44,70,74,70,42,55,7,16,11,12,15,
"LB, LM, CB",71,71,34,62,59,72,70,68,67,10,13,15,7,15,
GK,71,71,35,,,,,,,71,67,73,67,75,51
RB,71,71,35,70,63,66,66,66,76,7,10,14,12,8,
GK,71,71,35,,,,,,,72,70,65,72,73,51
CB,71,71,35,46,49,68,67,72,67,11,9,14,15,7,
CM,71,71,33,78,66,70,73,66,75,13,12,10,7,8,
CDM,71,71,34,44,54,67,67,68,74,15,6,8,6,11,
ST,71,71,31,66,73,60,65,32,80,16,9,14,12,12,
CB,71,71,32,67,45,58,57,72,75,13,15,9,16,11,
RB,71,71,34,55,54,66,61,73,71,12,7,8,13,10,
"CAM, CF",71,71,30,68,71,71,74,26,43,5,14,8,14,7,
"LM, LW, RM",71,71,35,59,70,74,71,38,66,6,16,6,9,13,
GK,71,71,32,,,,,,,68,68,71,72,73,53
LM,71,71,33,78,71,70,72,38,58,16,10,15,14,11,
GK,71,71,33,,,,,,,72,67,73,69,72,56
"RM, LM",71,71,33,77,70,68,73,36,68,16,16,14,15,6,
GK,71,71,34,,,,,,,72,68,74,70,73,35
GK,71,71,40,,,,,,,71,71,60,71,69,39
RB,71,71,34,79,57,69,71,64,70,12,13,11,16,10,
"ST, RW",71,71,34,59,73,62,64,32,78,15,6,10,16,13,
"RB, CB",71,71,32,71,58,64,65,69,73,11,12,10,12,10,
CB,71,71,36,32,46,54,51,71,82,13,12,13,10,8,
"LB, CB",71,71,34,71,45,61,64,70,75,16,11,11,12,8,
GK,71,71,34,,,,,,,70,66,69,71,74,32
GK,71,71,32,,,,,,,70,69,70,68,72,60
GK,71,71,37,,,,,,,69,71,69,70,75,52
"CDM, CM",71,71,34,69,70,74,73,62,66,13,16,8,8,16,
"LM, LW, RW",71,71,34,76,63,69,72,37,63,16,10,15,8,16,
LB,71,71,32,81,55,68,67,66,71,8,16,9,12,12,
GK,71,71,35,,,,,,,69,70,70,68,69,31
"CDM, CM",71,71,32,66,53,60,65,69,79,6,8,13,14,11,
"LB, CDM, CB",71,71,34,60,56,64,63,73,76,14,7,11,6,12,
"RM, RW",71,71,33,75,65,70,72,36,57,13,14,12,10,11,
RB,71,71,34,57,59,73,70,69,68,6,14,10,13,7,
"RM, CM, ST",71,71,33,77,61,68,70,63,73,11,12,13,16,15,
"LB, CB",71,71,33,71,62,68,69,69,70,11,9,7,9,12,
CB,71,71,29,51,41,50,47,69,78,11,10,12,9,10,
RB,71,71,30,61,65,65,65,72,73,12,8,9,10,11,
ST,71,71,33,33,72,58,63,43,77,14,12,6,16,9,
CB,71,71,33,48,44,58,55,71,73,15,13,6,16,12,
"CM, CDM, CB",71,71,32,41,68,64,64,73,76,10,6,10,8,16,
GK,71,71,30,,,,,,,70,70,76,71,72,47
CB,71,71,32,55,34,56,61,72,72,11,12,12,14,13,
"LB, LM",71,71,31,74,65,70,71,68,71,12,8,11,12,11,
ST,71,71,32,77,69,66,74,47,71,11,15,16,11,9,
"RWB, RB, CB",71,71,32,68,52,64,67,70,68,12,10,9,9,11,
GK,71,71,33,,,,,,,69,69,61,73,72,40
CM,71,71,32,65,62,68,71,68,79,9,12,14,15,15,
CDM,71,71,32,61,55,69,64,66,80,13,8,13,8,13,
CM,71,71,30,67,65,73,74,54,66,12,12,8,11,9,
ST,71,71,35,63,73,60,66,31,75,7,12,16,10,10,
"CM, LM",71,71,30,83,69,69,72,69,82,10,16,7,15,14,
GK,71,71,32,,,,,,,73,69,67,75,71,50
"CM, CDM",71,71,34,77,64,70,73,62,69,11,12,5,14,15,
CB,71,71,33,47,38,44,46,72,76,9,10,7,7,4,
LB,71,71,33,55,48,65,65,74,70,14,10,15,9,8,
"RW, RM",71,71,31,72,67,73,72,38,52,9,15,12,14,6,
"LB, LWB, CB",71,71,32,64,59,70,64,68,75,12,14,7,6,10,
ST,71,71,32,59,74,52,62,32,77,12,8,9,8,12,
CB,71,71,32,32,47,58,53,71,74,15,10,8,8,11,
"ST, LM, RM",71,71,31,72,70,64,71,43,67,14,13,10,12,9,
CB,71,71,32,32,38,56,53,70,81,9,12,15,12,11,
"RM, ST",71,71,30,85,68,67,73,40,63,12,13,11,10,7,
"RM, CM",71,71,34,83,69,67,69,47,72,7,16,16,7,15,
LB,71,71,31,69,44,65,67,69,70,9,8,11,7,14,
ST,71,71,30,75,69,62,73,39,78,9,12,10,15,16,
"CAM, CM",71,71,35,53,71,72,72,60,72,14,7,8,11,7,
GK,71,72,30,,,,,,,72,67,67,70,73,33
CB,71,71,30,67,43,53,58,71,75,7,12,9,14,13,
CB,71,71,34,36,49,64,53,73,76,15,12,8,12,11,
"RW, CF",71,71,29,81,66,70,75,43,70,11,10,7,12,11,
CB,71,71,29,53,33,46,54,71,75,16,16,16,12,16,
LB,71,71,30,90,57,64,72,61,69,11,7,7,7,7,
"CF, ST",71,71,29,78,68,70,74,43,63,9,11,9,6,7,
LB,71,71,30,83,45,66,72,64,77,16,12,8,6,13,
"CB, LB",71,71,32,66,51,60,61,69,78,16,9,12,13,15,
"CF, ST, CAM",71,71,31,63,69,62,76,41,62,14,9,6,6,16,
CB,71,73,27,59,43,49,59,70,78,11,16,14,10,10,
GK,71,71,33,,,,,,,72,66,65,70,75,33
GK,71,71,31,,,,,,,72,68,58,69,72,43
CAM,71,71,30,62,71,70,71,63,76,8,12,9,7,8,
RB,71,71,29,69,52,67,66,68,71,8,13,11,12,13,
"LM, RM",71,71,32,69,62,72,71,62,65,8,15,11,16,14,
"ST, LM",71,71,34,67,70,68,71,40,75,14,9,15,14,9,
"LM, RM",71,71,29,80,67,66,73,25,65,15,7,15,14,11,
"RB, LB, RM",71,71,28,83,61,64,67,64,77,12,13,12,9,14,
ST,71,71,29,71,71,58,68,33,69,8,7,16,14,16,
"CDM, CB, CM",71,71,32,47,58,63,58,71,81,16,11,8,7,7,
"CM, CDM",71,71,29,65,61,72,72,64,64,10,7,12,13,16,
CB,71,71,30,51,35,50,56,71,71,8,14,7,8,7,
"CM, LM, LWB",71,71,28,69,68,72,72,61,69,6,14,13,9,6,
"RW, LW",71,71,30,81,65,64,73,51,70,8,10,8,6,10,
"CDM, CB, CM",71,71,32,39,54,60,59,71,78,11,15,9,14,7,
"CDM, CM",71,71,28,65,62,65,65,71,75,15,15,15,10,11,
"CAM, CM, CDM",71,71,37,62,66,75,71,58,64,6,16,9,14,8,
GK,71,71,31,,,,,,,69,70,67,71,70,41
"LM, RM, LW",71,71,29,81,66,68,73,44,52,9,10,6,13,15,
"RB, RWB",71,71,32,67,46,59,63,70,68,15,12,8,13,6,
CB,71,72,28,59,28,56,59,70,72,11,7,6,6,9,
"CAM, RW, LW",71,71,31,74,56,65,74,33,48,16,8,15,8,15,
CB,71,71,32,69,41,55,58,71,74,12,15,7,9,16,
"RW, LW",71,71,31,82,67,65,73,44,64,15,10,10,13,8,
CB,71,71,29,77,39,59,64,70,76,8,11,15,16,9,
"LW, RW, CAM",71,71,30,75,69,68,72,37,58,10,6,8,13,9,
ST,71,71,32,74,72,65,71,29,72,13,16,10,9,10,
"ST, RW, RM",71,71,29,87,69,66,73,37,65,3,3,3,3,3,
ST,71,71,30,81,66,63,70,39,75,7,6,16,8,14,
CB,71,71,30,66,41,58,62,70,76,13,7,11,12,15,
"CAM, CM, LM",71,71,31,67,63,70,73,40,58,7,9,7,6,14,
CB,71,71,31,56,40,45,53,73,78,13,8,6,13,15,
"LB, CB",71,71,30,69,61,66,68,68,75,6,12,5,15,8,
"CM, CDM",71,71,29,61,67,69,73,72,77,8,6,10,10,11,
"RB, LB",71,71,29,75,39,59,63,69,75,9,8,11,13,9,
"LB, LM",71,71,30,87,49,67,70,64,74,11,11,13,7,15,
"CAM, CM",71,71,32,70,70,75,71,42,70,14,13,13,13,12,
CDM,71,71,30,72,62,67,66,67,80,11,8,14,14,11,
CB,71,71,29,44,42,55,58,72,76,11,9,7,15,6,
RB,71,71,31,78,57,62,72,67,62,16,11,7,8,9,
"CAM, RW, CM",71,71,35,70,68,72,72,57,72,7,14,9,9,14,
CB,71,71,29,68,48,62,67,69,80,14,8,8,12,13,
CB,71,71,30,49,42,63,61,71,69,9,10,10,6,12,
"CDM, CM",71,71,29,43,64,68,61,67,81,6,14,15,12,11,
CB,71,72,28,61,47,51,59,71,77,13,12,11,12,13,
"CDM, CM",71,71,29,68,45,67,66,69,74,13,6,6,14,12,
GK,71,72,28,,,,,,,76,62,67,69,75,41
"LB, LWB, LM",71,71,31,73,59,67,74,64,61,7,16,14,12,14,
CB,71,71,31,75,47,52,56,69,79,6,9,14,11,10,
CB,71,71,32,45,43,54,53,70,78,10,14,14,8,8,
"RB, CB",71,71,32,73,56,64,68,68,83,8,8,9,14,10,
GK,71,71,30,,,,,,,72,67,69,70,73,43
GK,71,73,28,,,,,,,71,68,67,69,71,40
CB,71,71,28,69,33,58,62,68,77,8,9,7,8,10,
"RB, RWB",71,71,28,83,53,63,68,66,75,11,15,7,12,10,
ST,71,72,26,77,72,54,65,27,78,14,7,10,6,11,
GK,71,71,34,,,,,,,68,73,66,72,72,36
CB,71,73,28,71,36,50,59,70,81,14,11,8,10,13,
"CM, CDM",71,71,28,66,65,73,73,59,54,15,12,14,7,14,
CB,71,71,32,41,31,39,52,73,78,14,8,8,8,6,
"LB, LWB",71,71,30,73,40,62,69,71,74,9,14,12,12,13,
"CAM, CM",71,71,28,71,65,72,75,48,53,14,15,13,12,8,
"RM, RWB, ST",71,71,27,94,66,60,70,41,68,13,13,15,11,13,
ST,71,71,29,81,70,63,73,48,74,8,12,12,10,13,
ST,71,71,30,68,70,62,68,31,77,10,7,13,10,12,
"LB, LWB",71,71,31,74,61,66,72,65,69,10,9,11,8,6,
"ST, LM",71,72,27,75,71,61,68,44,74,15,14,10,9,13,
"CAM, CM",71,73,26,75,54,68,79,26,62,6,12,10,7,9,
LM,71,71,28,83,65,62,73,34,69,14,13,10,11,11,
"LM, CAM",71,71,30,76,68,68,72,34,53,7,12,12,13,14,
CDM,71,71,27,54,63,77,64,68,70,15,15,14,16,8,
"LM, LW",71,71,29,72,63,69,73,25,58,14,13,12,12,16,
"CM, RM, CAM",71,71,33,75,67,71,73,53,69,8,13,13,7,11,
CB,71,71,31,43,47,40,41,71,81,13,10,8,10,11,
"LB, LWB, LM",71,72,27,69,45,62,63,67,74,10,9,16,8,9,
"ST, RW",71,71,28,74,73,69,75,25,62,13,7,6,13,15,
"RB, RWB",71,71,28,75,49,61,65,67,81,6,8,7,15,8,
"ST, LM",71,71,28,67,76,60,69,29,62,10,11,16,15,11,
"RB, RWB",71,71,29,85,52,63,72,63,66,8,8,7,10,11,
"CB, CDM",71,72,27,57,55,56,63,70,82,6,9,15,8,11,
"LM, LW",71,71,29,81,65,67,74,39,54,15,12,16,15,15,
"CDM, CM",71,71,30,57,55,68,65,70,75,12,9,14,13,13,
CB,71,71,28,58,31,40,45,72,77,15,9,11,15,10,
"RM, LM, LW",71,71,29,79,66,65,73,33,65,11,8,7,8,12,
RM,71,71,29,78,63,67,68,54,72,14,12,10,10,10,
CB,71,71,30,51,43,46,44,75,71,8,12,13,10,13,
CB,71,71,31,67,47,53,57,70,83,9,11,15,8,15,
"RW, LW",71,71,27,86,62,64,75,29,58,12,7,8,10,7,
"CM, CDM",71,71,29,78,62,70,79,44,63,8,8,5,9,13,
"RWB, RB",71,71,29,69,46,66,66,68,71,15,14,14,14,9,
CB,71,72,28,61,32,53,63,72,69,15,7,7,8,9,
"RM, RW",71,71,29,73,67,70,75,48,65,14,14,8,11,8,
"LM, LW",71,71,27,77,67,69,73,35,64,13,14,6,14,15,
"LWB, CM, RW",71,71,28,75,69,68,72,63,70,8,11,8,16,6,
GK,71,73,29,,,,,,,71,68,73,73,73,30
CB,71,72,28,50,32,55,56,71,74,10,13,14,13,6,
"ST, LW, LM",71,72,27,70,70,66,71,35,73,10,7,8,13,10,
"RM, LM",71,71,29,76,68,71,72,22,59,12,9,15,13,8,
"CM, CDM",71,71,28,63,65,69,69,68,75,7,11,12,11,14,
"CM, CDM, CAM",71,72,27,64,69,71,70,67,67,9,16,13,11,11,
GK,71,73,27,,,,,,,75,70,64,69,72,51
"LM, ST",71,71,29,72,70,69,70,62,75,13,7,9,9,10,
LB,71,71,31,68,55,65,67,68,69,14,8,12,14,7,
"LW, RW",71,71,29,88,66,70,71,34,67,10,9,8,10,10,
CB,71,71,30,58,37,51,49,71,78,15,10,7,15,13,
"RW, RM",71,71,30,86,60,65,76,27,45,11,10,9,10,15,
CDM,71,71,29,70,61,66,66,67,75,13,7,7,16,10,
"LM, RM, ST",71,71,33,73,71,68,73,43,74,14,15,9,9,8,
"CM, CDM, CAM",71,72,27,61,64,72,72,61,63,8,6,13,8,14,
GK,71,71,28,,,,,,,69,71,83,70,70,48
GK,71,71,31,,,,,,,72,67,64,69,75,41
"ST, LW, RW",71,73,26,69,73,59,69,32,70,14,16,12,12,15,
"CDM, CM",71,71,31,65,64,69,68,65,82,14,10,8,10,6,
"LWB, LB",71,74,25,76,52,62,65,65,71,12,15,15,13,13,
"CAM, CM, CDM",71,71,32,67,67,73,70,64,72,7,9,13,13,10,
"RB, RWB, RM",71,71,28,76,40,60,64,68,72,10,9,10,7,11,
GK,71,73,28,,,,,,,72,67,69,69,72,44
CB,71,72,28,58,30,49,51,72,75,10,13,8,7,7,
ST,71,71,28,71,71,56,65,38,78,12,11,15,15,9,
CB,71,73,27,47,36,55,53,72,63,9,6,7,13,14,
RM,71,71,28,92,62,63,72,44,71,8,15,16,11,10,
"LB, LM, RB",71,71,30,76,52,66,68,66,74,7,15,7,8,13,
ST,71,71,28,69,70,54,71,29,74,16,15,14,10,16,
"LM, LW",71,71,28,92,63,62,74,37,55,11,12,13,12,7,
ST,71,71,31,80,72,65,74,26,65,15,15,9,6,9,
CB,71,71,28,49,45,51,47,73,77,7,11,15,10,15,
"CM, RW",71,72,26,76,72,73,76,44,66,12,14,14,11,8,
"LM, RM",71,71,31,80,68,67,73,31,61,11,14,10,10,12,
ST,71,71,32,40,76,53,59,40,84,10,9,11,11,15,
CB,71,73,27,61,26,49,53,72,75,15,10,6,12,7,
"LB, LWB",71,71,30,64,47,61,69,69,71,11,13,13,8,13,
"RB, RWB",71,71,28,73,39,63,67,68,75,7,7,15,13,11,
GK,71,71,34,,,,,,,73,69,67,68,73,49
RB,71,71,30,78,61,65,69,65,69,13,16,7,15,13,
"RM, LM",71,71,30,80,70,65,73,32,66,13,10,11,6,10,
"CDM, CM",71,72,27,55,64,65,65,70,78,15,15,16,9,13,
"LB, CB",71,71,31,63,57,68,64,66,79,14,13,12,12,12,
"CF, ST",71,71,28,89,64,66,73,27,68,13,11,14,10,8,
CB,71,72,28,60,34,43,44,71,80,13,6,10,12,16,
CM,71,72,26,63,69,73,72,57,65,6,10,7,10,7,
"CAM, CM",71,72,27,69,65,69,74,47,73,13,11,12,15,13,
GK,71,74,28,,,,,,,72,67,70,68,74,53
"CM, CDM, RB",71,71,28,52,66,71,68,64,71,13,12,10,13,14,
"LM, CF",71,71,31,70,68,70,72,41,62,15,10,12,7,10,
"CM, CDM, CAM",71,71,30,57,67,71,70,58,65,8,10,9,8,13,
CB,71,72,27,35,48,55,52,73,72,12,8,12,16,11,
"CAM, CM",71,72,26,74,68,67,72,38,60,7,8,10,12,13,
"CDM, CM",71,71,28,34,46,74,67,68,58,11,12,6,7,11,
"LM, RM, ST",71,71,33,72,71,68,76,63,50,13,11,8,8,8,
RB,71,71,29,84,49,61,68,65,67,9,12,6,11,10,
ST,71,71,28,88,68,57,73,36,70,8,11,11,13,12,
"RM, ST, RWB",71,71,28,92,66,60,71,49,63,14,10,13,15,7,
CB,71,72,27,51,38,52,58,71,79,7,9,7,14,16,
RM,71,72,26,75,64,68,73,53,68,15,6,8,9,8,
"CAM, LM, CM",71,71,31,72,67,70,74,37,63,12,14,10,10,7,
"LM, CAM",71,71,27,74,72,69,72,42,69,10,7,13,13,7,
CB,71,72,29,41,33,49,52,70,78,13,9,9,10,15,
"CB, LB",71,72,27,69,30,57,61,72,70,7,11,12,13,8,
"CAM, CM",71,71,29,64,72,74,72,53,62,16,7,10,9,9,
ST,71,71,32,66,71,54,64,27,71,13,7,8,10,11,
"LB, CB",71,72,26,80,65,61,66,67,78,15,14,14,9,11,
"LM, ST, LB",71,71,29,75,68,66,73,54,68,10,10,15,8,6,
"CM, CDM",71,71,33,61,63,70,71,66,77,8,9,9,16,9,
GK,71,72,29,,,,,,,71,70,68,70,74,55
"CM, CDM",71,74,25,66,60,70,71,68,72,15,14,11,15,8,
"RB, RM",71,73,25,83,54,63,68,64,70,13,8,6,9,14,
"RM, LM",71,72,26,92,57,66,67,48,70,7,14,13,8,11,
"CAM, CM, LM",71,72,26,74,68,66,76,33,60,14,9,8,10,12,
GK,71,71,28,,,,,,,71,69,70,68,74,43
"ST, LW, RW",71,72,27,68,71,63,73,27,69,6,12,13,8,15,
"LWB, LB",71,71,27,62,61,67,66,65,74,13,13,10,8,12,
"CM, CAM",71,71,28,70,70,72,73,62,58,11,13,12,12,13,
LB,71,71,33,75,39,59,64,67,77,9,9,11,10,15,
ST,71,73,26,76,70,53,67,40,75,12,11,7,11,14,
ST,71,71,32,49,69,61,61,42,81,7,16,6,9,12,
"RM, LM",71,71,27,91,66,60,75,28,53,14,12,8,14,14,
"CDM, CM, RM",71,72,26,55,38,56,62,70,81,15,10,10,7,9,
"CDM, CM",71,71,31,56,57,57,60,70,81,10,10,13,8,10,
"CDM, CM",71,76,25,76,67,69,72,66,77,12,7,12,8,7,
"CM, CDM",71,74,26,64,61,71,73,66,68,14,7,12,8,16,
CM,71,73,26,69,58,72,77,55,68,13,10,16,14,10,
ST,71,75,25,83,70,52,70,28,73,8,15,10,6,13,
CB,71,74,27,68,44,54,50,71,75,13,8,12,10,10,
"CM, CAM",71,73,26,61,71,71,70,55,70,7,7,7,11,13,
"CM, CAM",71,75,24,70,67,68,71,62,73,6,6,7,15,13,
"RM, CAM",71,71,27,62,76,78,72,44,59,15,14,12,15,8,
ST,71,71,28,57,72,61,67,32,70,9,12,9,13,12,
CB,71,71,31,48,26,39,43,71,81,9,14,14,9,11,
CDM,71,71,29,62,45,58,64,67,78,7,8,16,11,8,
CB,71,71,31,58,38,51,61,70,78,5,14,15,6,10,
GK,71,71,37,,,,,,,70,67,64,70,71,39
ST,71,71,32,70,69,55,68,32,77,15,10,12,9,6,
LB,71,71,31,78,57,62,63,66,80,10,11,8,13,15,
ST,71,71,34,77,71,62,72,42,64,10,14,9,11,11,
"ST, RW, LW",71,71,32,68,73,63,65,32,68,9,8,13,10,15,
CB,71,72,27,43,29,42,48,73,72,7,16,10,12,11,
"LB, LWB",71,71,30,77,59,72,63,66,71,15,11,13,8,8,
CB,71,71,32,59,35,54,56,73,73,14,15,14,16,10,
CB,71,72,28,65,41,48,48,71,77,13,7,11,7,11,
"CDM, CM",71,71,31,66,52,67,63,68,78,6,7,11,8,7,
RM,71,71,32,75,63,70,75,55,65,16,15,15,10,7,
"RB, RWB",71,71,29,74,49,64,69,66,71,10,13,9,5,8,
"CF, CAM, ST",71,73,25,63,75,63,72,36,72,12,13,10,14,7,
ST,71,71,33,70,70,62,66,38,70,11,14,6,13,11,
ST,71,71,30,46,74,54,70,39,72,10,11,6,9,12,
"CM, CDM",71,75,25,67,65,67,72,70,69,12,7,13,15,13,
"CM, CAM",71,72,26,72,65,71,70,65,73,11,15,16,10,8,
"RB, RWB",71,74,25,81,41,56,58,69,61,13,15,11,8,9,
LB,71,71,31,70,52,60,70,67,66,14,11,12,12,12,
CB,71,73,26,65,28,44,49,71,74,15,11,11,10,11,
"CM, LM, RM",71,76,25,72,66,73,72,57,60,9,13,12,16,11,
"LW, RW, CAM",71,73,25,85,64,64,73,38,62,11,13,9,12,7,
"CDM, CM",71,71,29,57,67,67,66,68,85,10,10,7,13,10,
ST,71,71,34,64,72,53,67,30,76,8,9,14,12,6,
GK,71,71,29,,,,,,,70,69,68,69,72,40
"RB, RWB, RM",71,71,29,66,38,61,62,68,58,14,12,11,14,12,
"RW, LW",71,75,23,83,65,61,74,27,53,11,10,10,11,11,
"LW, ST",71,71,28,75,70,65,72,26,72,11,9,7,15,14,
"CDM, CM",71,71,31,32,55,64,66,64,75,8,15,14,9,6,
"CM, CDM, CAM",71,73,26,51,67,72,68,68,69,12,14,12,8,8,
CB,71,73,27,57,29,44,54,71,73,12,12,11,9,8,
LB,71,72,27,76,45,61,70,68,65,10,7,14,13,15,
"CM, CAM",71,76,25,67,67,72,75,63,73,8,14,14,6,6,
"RM, LM",71,71,27,80,64,66,69,42,68,14,16,15,8,12,
CB,71,74,27,47,46,56,51,71,76,11,7,12,13,13,
"CM, CDM",71,71,32,61,65,69,73,57,75,16,7,13,6,15,
"CDM, CM",71,76,26,67,54,61,68,69,76,10,15,12,9,12,
"CB, RB",71,74,27,79,38,53,61,70,79,8,15,9,10,15,
"RM, LM, ST",71,71,28,75,67,70,73,48,53,11,10,9,12,11,
LB,71,74,26,69,45,67,68,68,65,7,14,15,15,9,
GK,71,75,26,,,,,,,78,66,57,62,76,48
"CB, LB",71,72,29,59,59,57,60,72,71,15,11,6,14,12,
"CAM, LM, RM",71,71,30,73,74,65,69,38,63,8,15,13,9,15,
"CAM, RM, CM",71,74,26,65,68,70,73,46,60,12,14,11,14,9,
ST,71,75,25,55,70,57,68,34,76,13,11,12,13,13,
GK,71,74,26,,,,,,,73,69,62,70,72,46
CB,71,71,28,57,31,42,50,73,67,9,8,9,14,11,
"CDM, CM, RB",71,71,29,87,55,58,68,68,85,10,14,10,12,10,
ST,71,71,32,74,70,64,74,29,70,13,13,16,12,9,
"CAM, LM",71,74,24,80,66,71,73,25,61,9,15,16,10,8,
LB,71,71,28,84,48,62,65,67,76,14,7,13,9,9,
"CDM, CM",71,72,28,57,66,70,69,68,74,6,14,12,15,16,
"RM, LM",71,72,25,72,64,70,73,69,61,7,5,8,9,5,
"LWB, LB, LM",71,73,26,72,34,62,72,68,64,11,7,9,13,15,
"RWB, RB, LB",71,74,26,73,26,59,66,68,61,8,6,8,8,12,
"CM, CDM",71,76,25,67,63,72,72,65,62,15,6,12,7,7,
CB,71,77,24,49,55,60,59,74,68,12,6,12,11,6,
"LM, CAM, CM",71,74,25,61,64,73,71,66,73,8,13,15,16,6,
"RB, CDM, LB",71,72,26,81,48,65,69,65,70,15,6,12,8,11,
"LW, RW",71,71,26,77,67,66,72,39,65,11,12,6,14,14,
CB,71,75,26,55,35,49,52,71,80,7,9,14,15,10,
"CB, LB",71,74,27,64,55,68,66,72,76,7,7,13,12,10,
"CDM, CM",71,71,29,28,55,60,60,66,75,9,6,9,15,15,
ST,71,71,29,71,70,55,68,28,72,10,9,5,13,8,
"LB, LWB",71,71,27,86,56,63,71,65,70,13,12,8,12,11,
CDM,71,73,27,56,46,57,58,71,81,10,10,9,14,13,
"CM, RM",71,72,27,70,66,69,71,63,71,13,6,13,11,10,
"ST, LM",71,76,24,77,71,60,71,31,67,15,13,9,9,11,
CB,71,78,23,70,30,42,58,71,73,8,14,12,13,12,
"LM, CAM, CM",71,72,26,66,67,70,73,42,66,16,6,9,7,7,
"RM, LM, CAM",71,71,28,82,68,67,75,49,56,15,16,10,9,14,
CB,71,71,30,34,31,46,51,70,81,9,15,13,6,15,
"RM, LM",71,71,31,86,68,60,73,32,66,15,6,11,11,10,
ST,71,71,30,63,71,52,62,30,76,8,7,13,12,11,
"CDM, CM",71,71,29,61,62,68,65,65,73,9,7,9,12,11,
"CM, CAM, CDM",71,71,28,52,70,72,71,66,69,10,16,8,8,15,
"RM, RW, CAM",71,76,24,76,64,68,79,27,39,12,7,8,7,12,
CB,71,72,29,41,29,46,44,73,69,10,7,12,15,9,
ST,71,73,26,75,73,54,66,28,73,14,11,11,12,10,
ST,71,76,24,74,70,60,70,29,71,13,9,6,12,16,
RB,71,71,29,89,53,61,68,62,56,10,16,7,11,10,
"CF, LM",71,72,27,79,71,68,74,39,66,13,15,12,7,12,
GK,71,78,23,,,,,,,71,69,68,69,70,32
ST,71,74,25,72,71,59,70,33,67,8,13,15,9,11,
"LM, CAM",71,71,26,75,69,67,74,55,67,6,12,15,8,7,
"RB, RWB, LWB",71,71,35,48,44,67,69,69,72,13,10,9,11,13,
"CB, CDM",71,71,34,52,59,64,65,72,76,8,9,16,14,15,
"LB, LM",71,75,25,75,42,61,67,66,74,8,13,11,12,14,
"RM, ST, LM",71,73,25,84,66,66,73,31,66,7,9,16,16,6,
RB,71,76,25,76,57,67,67,65,67,15,12,16,9,10,
"LM, CM, CAM",71,74,25,77,58,64,77,44,56,12,9,11,9,8,
CB,71,71,30,80,29,55,53,74,72,8,14,10,14,12,
"LM, LW",71,71,28,81,66,65,75,50,65,10,8,12,9,11,
ST,71,71,29,66,70,62,66,45,77,14,12,14,10,10,
"CDM, CM",71,78,24,65,65,68,68,71,71,16,15,6,16,9,
RB,71,71,31,70,45,57,68,70,71,9,11,14,10,11,
CB,71,72,27,43,33,41,51,73,67,9,12,7,15,15,
ST,71,71,29,70,71,48,69,25,76,11,13,9,14,14,
"RB, CB, LB",71,74,26,70,51,60,64,70,75,11,7,14,11,15,
"CM, CDM",71,80,23,53,62,71,70,62,68,11,10,12,13,7,
"CF, RM, ST",71,73,26,82,71,69,71,34,65,13,11,9,15,8,
ST,71,71,31,68,73,54,66,32,78,13,13,8,10,12,
GK,71,75,26,,,,,,,72,68,76,68,73,47
"CF, CAM, ST",71,71,30,82,74,66,72,31,67,7,9,15,8,12,
CB,71,72,28,68,50,67,64,71,75,14,11,9,10,13,
"LB, LM",71,76,25,79,45,66,69,66,71,7,13,16,11,7,
"CB, RB, CDM",71,73,25,75,58,64,67,68,79,9,10,9,7,6,
"RM, RW, LM",71,71,29,74,62,67,72,40,63,14,13,12,6,10,
CB,71,72,27,56,18,42,53,73,70,9,14,8,6,11,
GK,71,75,26,,,,,,,73,66,72,70,73,27
GK,71,76,24,,,,,,,72,69,64,70,73,39
"RB, RWB",71,71,28,87,48,57,69,64,70,13,16,8,7,13,
"LM, LB, RM",71,71,27,87,66,65,74,30,42,8,10,7,13,13,
